MOUSEMOVE	104335156	437,277
MOUSEMOVE	104335171	437,292
MOUSEMOVE	104335187	440,317
MOUSEMOVE	104335203	448,364
MOUSEMOVE	104335218	455,407
MOUSEMOVE	104335218	461,459
MOUSEMOVE	104335234	463,511
MOUSEMOVE	104335250	463,570
MOUSEMOVE	104335265	463,625
MOUSEMOVE	104335265	458,682
MOUSEMOVE	104335281	454,735
MOUSEMOVE	104335296	447,769
MOUSEMOVE	104335312	443,788
MOUSEMOVE	104335328	440,777
MOUSEMOVE	104335328	438,770
MOUSEMOVE	104335343	438,768
MOUSEMOVE	104335359	435,767
MOUSEMOVE	104335375	435,767
MOUSEMOVE	104335546	435,768
MOUSEMOVE	104335562	432,771
MOUSEMOVE	104335562	427,775
MOUSEMOVE	104335640	319,826
MOUSEMOVE	104335640	301,771
MOUSEMOVE	104335656	289,768
MOUSEMOVE	104335671	280,767
MOUSEMOVE	104335687	273,767
MOUSEMOVE	104335687	267,767
MOUSEMOVE	104335703	265,767
MOUSEMOVE	104335718	264,767
MOUSEMOVE	104335734	263,767
MOUSEMOVE	104335750	263,767
MOUSEMOVE	104335796	262,766
MOUSEMOVE	104335812	262,765
MOUSEMOVE	104335828	261,765
MOUSEMOVE	104335875	260,762
MOUSEMOVE	104335890	260,760
MOUSEMOVE	104335906	260,757
MOUSEMOVE	104335921	260,755
MOUSEMOVE	104335921	260,753
MOUSEMOVE	104335937	260,752
MOUSEMOVE	104335953	260,752
MOUSEMOVE	104335968	260,751
MOUSEMOVE	104336046	260,750
MOUSEMOVE	104336078	260,750
MOUSEMOVE	104336234	259,750
MOUSEMOVE	104336250	256,750
MOUSEMOVE	104336265	254,750
MOUSEMOVE	104336281	252,750
MOUSEMOVE	104336281	250,750
MOUSEMOVE	104336296	247,750
MOUSEMOVE	104336312	245,750
MOUSEMOVE	104336328	242,750
MOUSEMOVE	104336343	240,749
MOUSEMOVE	104336343	239,749
MOUSEMOVE	104336359	239,748
LBUTTONDOWN	104336531	239,748
LBUTTONUP	104336656	239,748
MOUSEMOVE	104336968	235,740
MOUSEMOVE	104336984	223,714
MOUSEMOVE	104336984	207,660
MOUSEMOVE	104337000	197,607
MOUSEMOVE	104337015	193,549
MOUSEMOVE	104337031	193,495
MOUSEMOVE	104337046	193,430
MOUSEMOVE	104337046	198,378
MOUSEMOVE	104337062	211,334
MOUSEMOVE	104337078	226,293
MOUSEMOVE	104337093	240,262
MOUSEMOVE	104337109	250,234
MOUSEMOVE	104337109	260,204
MOUSEMOVE	104337125	266,177
MOUSEMOVE	104337328	265,166
MOUSEMOVE	104337343	258,139
MOUSEMOVE	104337343	250,81
MOUSEMOVE	104337359	246,23
MOUSEMOVE	104337375	246,-42
MOUSEMOVE	104337390	251,-65
MOUSEMOVE	104337406	259,-61
MOUSEMOVE	104337406	270,-41
MOUSEMOVE	104337421	278,-24
MOUSEMOVE	104337437	284,-10
MOUSEMOVE	104337453	286,-7
LBUTTONDOWN	104337718	286,0
LBUTTONUP	104337843	286,0
MOUSEMOVE	104338156	284,0
MOUSEMOVE	104338171	279,0
MOUSEMOVE	104338171	266,0
MOUSEMOVE	104338187	246,0
MOUSEMOVE	104338203	212,-2
MOUSEMOVE	104338218	178,-7
MOUSEMOVE	104338234	157,-3
MOUSEMOVE	104338234	145,-3
MOUSEMOVE	104338250	137,-2
MOUSEMOVE	104338265	132,-3
MOUSEMOVE	104338281	129,-3
MOUSEMOVE	104338296	126,-2
MOUSEMOVE	104338296	123,-6
MOUSEMOVE	104338515	117,0
MOUSEMOVE	104338515	109,0
MOUSEMOVE	104338531	102,0
MOUSEMOVE	104338546	95,0
MOUSEMOVE	104338562	90,0
MOUSEMOVE	104338578	83,0
MOUSEMOVE	104338578	76,0
MOUSEMOVE	104338593	69,0
MOUSEMOVE	104338609	64,0
MOUSEMOVE	104338625	60,0
MOUSEMOVE	104338640	56,-1
MOUSEMOVE	104338640	53,0
MOUSEMOVE	104338656	50,0
MOUSEMOVE	104338671	49,0
MOUSEMOVE	104338687	47,-1
MOUSEMOVE	104338703	46,0
MOUSEMOVE	104338718	44,0
MOUSEMOVE	104338718	43,0
MOUSEMOVE	104338734	41,0
MOUSEMOVE	104338750	40,0
MOUSEMOVE	104338765	37,0
MOUSEMOVE	104338765	36,0
MOUSEMOVE	104338781	36,0
MOUSEMOVE	104339000	36,0
MOUSEMOVE	104339015	37,0
MOUSEMOVE	104339031	39,2
MOUSEMOVE	104339046	43,3
MOUSEMOVE	104339062	47,7
MOUSEMOVE	104339062	52,10
MOUSEMOVE	104339078	57,14
MOUSEMOVE	104339093	63,17
MOUSEMOVE	104339109	67,20
LBUTTONDOWN	104339359	67,20
LBUTTONUP	104339484	67,20
MOUSEMOVE	104339781	69,20
MOUSEMOVE	104339796	74,23
MOUSEMOVE	104339812	84,33
MOUSEMOVE	104339859	131,83
MOUSEMOVE	104339859	155,109
MOUSEMOVE	104339875	178,135
MOUSEMOVE	104339890	197,155
MOUSEMOVE	104339890	215,180
MOUSEMOVE	104339906	236,210
MOUSEMOVE	104339921	256,235
MOUSEMOVE	104339937	269,252
MOUSEMOVE	104352078	270,252
MOUSEMOVE	104352093	275,250
MOUSEMOVE	104352109	288,246
MOUSEMOVE	104352125	308,238
MOUSEMOVE	104352125	328,219
