-up	195083734	39
-down	195083781	39
-up	195083968	40
-down	195084000	40
-up	195084562	38
-down	195084687	38
-up	195084812	39
-down	195084937	39
-up	195085062	39
-down	195085156	39
-up	195085578	39
-down	195085703	39
-up	195086265	39
-down	195086375	39
-up	195086609	39
-down	195086718	39
-up	195087328	40
-down	195087421	40
-up	195093390	38
-down	195093515	38
-up	195093953	37
-up	195094187	40
-down	195094203	37
-down	195094281	40
-up	195094484	38
-down	195094578	38
-up	195094828	8
-down	195094906	8
-up	195096015	38
-down	195096062	38
-up	195096203	38
-down	195096250	38
-up	195097703	40
-down	195097750	40
-up	195097843	40
-down	195098187	40
-up	195098218	40
-down	195098515	40
-up	195098578	40
-down	195098671	40
-up	195098750	40
-down	195098812	40
-up	195098937	40
-down	195099015	40
-up	195099140	40
-down	195099187	40
-up	195100015	38
-down	195100093	38
-up	195101156	13
-down	195101218	13
-up	195102500	40
-down	195102562	40
-up	195103953	8
-down	195104015	8
-up	195105062	39
-down	195105109	39
-up	195105218	39
-down	195105281	39
-up	195105906	37
-down	195106062	37
-up	195106531	161
-down	195106609	161
-up	195107250	161
-down	195107312	161
-up	195107625	39
-down	195107718	39
-up	195108125	161
-down	195108187	161
-up	195109015	39
-down	195109078	39
-up	195109531	161
-down	195109640	161
-up	195110281	38
-down	195110375	38
-up	195111031	13
-down	195111078	13
-up	195112828	38
-down	195112937	38
-up	195113328	38
-down	195113421	38
-up	195113562	38
-down	195113609	38
-up	195113750	38
-down	195113781	38
-up	195113953	38
-down	195114031	38
-up	195114125	38
-down	195114187	38
-up	195114281	38
-down	195114343	38
-up	195114437	38
-down	195114484	38
-up	195114859	38
-down	195114890	38
-up	195119546	8
-down	195119578	8
-up	195121046	40
-down	195121109	40
-up	195121281	40
-up	195121796	40
-up	195121828	40
-up	195121859	40
-up	195121890	40
-up	195121921	40
-down	195121937	40
-up	195122546	40
-down	195122640	40
-up	195122750	40
-down	195122812	40
-up	195123359	38
-down	195123406	38
-up	195123796	38
-down	195123859	38
-up	195123984	38
-down	195124078	38
-up	195124250	39
-down	195124328	39
-up	195124468	39
-down	195124531	39
-up	195124750	38
-down	195124890	38
-up	195125312	13
-down	195125375	13
-up	195127312	8
-down	195127390	8
-up	195128265	37
-down	195128343	37
-up	195128453	37
-down	195128531	37
-up	195129671	37
-down	195129750	37
-up	195131218	40
-down	195131312	40
-up	195131625	40
-down	195131687	40
-up	195132156	40
-down	195132218	40
-up	195133015	40
-down	195133078	40
-up	195134203	38
-down	195134359	38
-up	195135281	38
-down	195135656	38
-up	195135718	39
-down	195135812	39
-up	195135968	38
-down	195136062	38
-up	195136156	39
-down	195136265	39
-up	195136437	39
-down	195136531	39
-up	195136843	38
-down	195136953	38
-up	195138593	161
-down	195138640	161
-up	195139078	13
-down	195139125	13
-up	195143906	8
-down	195143953	8
-up	195146843	91
-up	195146875	68
-down	195146968	91
-down	195146984	68
-up	195167109	83
-down	195167171	83
-up	195168484	13
-down	195168546	13
-up	195170578	8
-down	195170625	8
-up	195172125	37
-down	195172171	37
-up	195172296	37
-down	195172359	37
-up	195174000	161
-down	195174296	161
-up	195174406	161
-down	195174453	161
-up	195174984	38
-down	195175062	38
-up	195175140	38
-down	195175218	38
-up	195175296	38
-down	195175421	38
-up	195175515	39
-down	195175593	39
-up	195175718	39
-down	195175765	39
-up	195175875	38
-down	195176000	38
-up	195176453	37
-down	195176531	37
-up	195176593	38
-down	195176750	38
-up	195177421	39
-down	195177546	39
-up	195177625	38
-down	195177796	38
-up	195178062	39
-down	195178171	39
-up	195178296	38
-down	195178375	38
-up	195178796	40
-down	195178921	40
-up	195179812	40
-down	195179906	40
-up	195181234	8
-down	195181296	8
-up	195182953	37
-down	195183015	37
-up	195183937	13
-down	195183984	13
-up	195184828	38
-down	195184890	38
-up	195185593	39
-down	195185640	39
-up	195185750	38
-down	195185875	38
-up	195186203	39
-down	195186328	39
-up	195187062	40
-down	195187125	40
-up	195187343	39
-down	195187421	39
-up	195187515	38
-down	195187593	38
-up	195188078	13
-down	195188125	13
-up	195188765	40
-down	195188828	40
-up	195188984	40
-down	195189031	40
-up	195189171	40
-down	195189281	40
-up	195189718	8
-down	195189781	8
-up	195192000	37
-down	195192046	37
-up	195192140	39
-down	195192265	39
-up	195192390	40
-down	195192515	40
-up	195192640	39
-down	195192687	39
-up	195192765	40
-down	195192875	40
-up	195192890	37
-down	195193046	37
-up	195193312	37
-down	195193437	37
-up	195193546	38
-down	195193703	38
-up	195194000	40
-down	195194093	40
-up	195194218	40
-down	195194343	40
-up	195194765	39
-down	195194921	39
-up	195195125	39
-down	195195234	39
-up	195195312	39
-down	195195437	39
-up	195196453	40
-up	195196484	91
-down	195196546	40
-down	195196593	91
-up	195197765	38
-down	195197859	38
-up	195197953	38
-down	195198406	38
-up	195198468	38
-down	195198609	38
-up	195198718	38
-down	195198781	38
-up	195198859	38
-down	195198953	38
-up	195199093	37
-down	195199218	37
-up	195199234	38
-down	195199343	38
-up	195199406	38
-down	195199468	38
-up	195199968	37
-down	195200031	37
-up	195200140	37
-down	195200187	37
-up	195200359	39
-down	195200406	39
-up	195200687	37
-down	195200750	37
-up	195203312	39
-down	195203375	39
-up	195203968	13
-down	195204031	13
-up	195205421	38
-down	195205453	38
-up	195211468	91
-up	195211500	68
-down	195211578	91
-down	195211609	68
-up	195267406	38
-down	195267453	38
-up	195268046	40
-down	195268078	40
-up	195269078	13
-down	195269125	13
-up	195270343	8
-down	195270406	8
-up	195312203	162
-down	195312203	162
-up	195312218	162
-down	195312484	162
-up	231928843	40
-up	231929328	40
-up	231929359	40
-up	231929406	40
-up	231929437	40
-up	231929468	40
-up	231929500	40
-up	231929531	40
-down	231929546	40
-up	231929718	40
-up	231930234	40
-up	231930281	40
-up	231930312	40
-up	231930343	40
-up	231930375	40
-up	231930406	40
-up	231930437	40
-up	231930468	40
-up	231930500	40
-up	231930546	40
-down	231930562	40
-up	232024109	8
-down	232024203	8
-up	232076453	89
-down	232076531	89
-up	232076546	79
-up	232076656	85
-down	232076656	79
-down	232076765	85
-up	232076843	32
-down	232076937	32
-up	232077125	73
-down	232077203	73
-up	232077421	78
-down	232077515	78
-up	232077593	83
-down	232077703	83
-up	232077812	84
-down	232077906	84
-up	232078062	65
-down	232078171	65
-up	232078359	76
-down	232078437	76
-up	232078828	76
-down	232078890	76
-up	232079296	69
-down	232079390	69
-up	232080296	162
-up	232080406	65
-down	232080578	162
-down	232080578	65
-up	232080906	68
-down	232081000	68
-up	232081031	73
-down	232081140	73
-up	232081187	68
-down	232081328	68
-up	232081328	32
-down	232081421	32
-up	232081562	89
-down	232081687	89
-up	232081703	79
-up	232081812	85
-down	232081828	79
-down	232081937	85
-up	232082000	32
-down	232082093	32
-up	232082328	73
-down	232082406	73
-up	232082546	78
-down	232082640	78
-up	232082703	83
-up	232082843	84
-down	232082859	83
-down	232082953	84
-up	232083203	76
-down	232083265	76
-up	232083718	8
-down	232083796	8
-up	232083859	65
-down	232083953	65
-up	232084046	76
-down	232084109	76
-up	232084203	76
-down	232084265	76
-up	232084609	32
-down	232084656	32
-up	232099765	65
-down	232099875	65
-up	232099906	78
-down	232100000	78
-up	232100031	65
-down	232100140	65
-up	232100250	67
-down	232100359	67
-up	232100406	79
-down	232100515	79
-up	232100703	78
-down	232100796	78
-up	232100921	68
-up	232101046	65
-down	232101062	68
-down	232101187	65
-up	232101265	32
-up	232101421	161
-down	232101437	32
-up	232101562	191
-down	232101671	161
-down	232101687	191
-up	232101796	13
-down	232101843	13
-up	232121734	40
-up	232122250	40
-up	232122281	40
-up	232122328	40
-up	232122359	40
-up	232122390	40
-up	232122421	40
-up	232122453	40
-up	232122484	40
-up	232122515	40
-up	232122546	40
-up	232122593	40
-up	232122625	40
-up	232122656	40
-up	232122687	40
-up	232122718	40
-down	232122750	40
-up	232123015	40
-up	232123531	40
-up	232123578	40
-up	232123609	40
-up	232123640	40
-up	232123671	40
-up	232123703	40
-up	232123734	40
-up	232123765	40
-up	232123796	40
-up	232123843	40
-up	232123875	40
-up	232123906	40
-up	232123937	40
-down	232123937	40
-up	232124140	40
-up	232124656	40
-down	232124671	40
-up	232145937	40
-up	232146468	40
-up	232146500	40
-up	232146531	40
-up	232146562	40
-down	232146593	40
-up	232157109	40
-up	232157625	40
-up	232157656	40
-up	232157687	40
-up	232157734	40
-up	232157765	40
-up	232157796	40
-up	232157828	40
-up	232157859	40
-up	232157890	40
-up	232157921	40
-up	232157953	40
-up	232158000	40
-up	232158031	40
-up	232158062	40
-up	232158093	40
-up	232158125	40
-up	232158156	40
-up	232158187	40
-up	232158218	40
-up	232158265	40
-up	232158296	40
-up	232158328	40
-down	232158343	40
-up	232158531	40
-up	232159046	40
-up	232159093	40
-up	232159125	40
-up	232159156	40
-up	232159187	40
-up	232159218	40
-up	232159250	40
-up	232159281	40
-up	232159312	40
-up	232159359	40
-up	232159390	40
-up	232159421	40
-up	232159453	40
-up	232159484	40
-up	232159515	40
-down	232159546	40
-up	232183921	40
-up	232184453	40
-up	232184484	40
-up	232184515	40
-up	232184546	40
-up	232184578	40
-up	232184609	40
-up	232184640	40
-up	232184687	40
-up	232184718	40
-up	232184750	40
-up	232184781	40
-up	232184812	40
-up	232184843	40
-up	232184875	40
-up	232184906	40
-up	232184953	40
-up	232184984	40
-up	232185015	40
-up	232185046	40
-up	232185078	40
-up	232185109	40
-up	232185140	40
-up	232185171	40
-up	232185218	40
-up	232185250	40
-up	232185281	40
-up	232185312	40
-up	232185343	40
-up	232185375	40
-up	232185406	40
-up	232185437	40
-up	232185484	40
-up	232185515	40
-up	232185546	40
-up	232185578	40
-up	232185609	40
-up	232185640	40
-up	232185671	40
-up	232185703	40
-up	232185750	40
-up	232185781	40
-down	232185796	40
-up	232191921	40
-up	232192437	40
-up	232192468	40
-up	232192515	40
-up	232192546	40
-up	232192578	40
-up	232192609	40
-up	232192640	40
-up	232192671	40
-up	232192703	40
-up	232192750	40
-up	232192781	40
-up	232192812	40
-down	232192828	40
-up	232193078	40
-up	232193593	40
-up	232193625	40
-up	232193656	40
-up	232193687	40
-up	232193734	40
-up	232193765	40
-down	232193765	40
-up	232234968	80
-up	232235078	65
-down	232235109	80
-up	232235218	83
-down	232235265	65
-down	232235375	83
-up	232236921	13
-down	232237015	13
-up	232348343	255
-up	232348343	255
-down	232348343	255
-down	232348343	255
-down	235773656	13
-down	235773656	13
-up	235901312	40
-up	235901312	40
-down	235901656	40
-down	235901656	40
-up	235901890	40
-up	235901906	40
-down	235902046	40
-down	235902062	40
-up	235902562	40
-up	235902562	40
-up	235903062	40
-up	235903062	40
-up	235903093	40
-up	235903093	40
-up	235903125	40
-up	235903125	40
-up	235903156	40
-up	235903156	40
-down	235903171	40
-down	235903187	40
-up	235905093	40
-up	235905093	40
-down	235905437	40
-down	235905437	40
-up	235907734	40
-up	235907734	40
-down	235908171	40
-down	235908171	40
-up	235908484	40
-up	235908484	40
-up	235908984	40
-up	235908984	40
-up	235909015	40
-up	235909015	40
-up	235909046	40
-up	235909046	40
-up	235909078	40
-up	235909078	40
-up	235909109	40
-up	235909109	40
-up	235909140	40
-up	235909156	40
-up	235909171	40
-up	235909187	40
-up	235909203	40
-up	235909218	40
-down	235909234	40
-down	235909234	40
-up	235912203	13
-up	235912203	13
-down	235912406	13
-down	235912406	13
-up	235914671	40
-up	235914671	40
-down	235915000	40
-down	235915000	40
-up	235942546	40
-up	235942562	40
-up	235943062	40
-up	235943062	40
-up	235943093	40
-up	235943093	40
-up	235943125	40
-up	235943125	40
-up	235943156	40
-up	235943156	40
-up	235943187	40
-up	235943187	40
-up	235943218	40
-up	235943218	40
-up	235943250	40
-up	235943250	40
-up	235943281	40
-up	235943281	40
-up	235943312	40
-up	235943312	40
-up	235943343	40
-up	235943343	40
