-up	24025718	70
-up	24025750	71
-up	24025796	72
-down	24025843	70
-down	24025890	71
-down	24025953	72
-up	24025968	70
-up	24026000	71
-up	24026046	72
-down	24026093	70
-down	24026109	71
-down	24026140	72
-up	24026265	70
-up	24026281	71
-down	24026437	71
-down	24026468	70
-up	24026718	70
-down	24026765	70
-up	24026953	70
-up	24027000	72
-up	24027031	71
-down	24027046	70
-down	24027062	71
-down	24027125	72
-up	24027234	72
-down	24027281	72
-up	24054125	87
-down	24054250	87
-up	24054265	72
-down	24054343	72
-up	24054359	65
-down	24054500	65
-up	24054562	84
-down	24054671	84
-up	24054703	32
-down	24054781	32
-up	24054890	65
-down	24055078	65
-up	24055093	82
-up	24055234	69
-down	24055281	82
-down	24055359	69
-up	24055687	32
-down	24055765	32
-up	24056187	89
-up	24056265	79
-down	24056281	89
-down	24056359	79
-up	24056390	85
-down	24056437	85
-up	24056468	32
-down	24056562	32
-up	24057390	87
-down	24057515	87
-up	24057671	79
-down	24057781	79
-up	24057937	82
-down	24058046	82
-up	24058187	75
-down	24058265	75
-up	24058343	73
-up	24058437	78
-down	24058453	73
-down	24058546	78
-up	24058578	71
-down	24058671	71
-up	24058703	32
-down	24058781	32
-up	24059062	79
-down	24059156	79
-up	24059312	32
-down	24059359	32
-up	24060000	8
-down	24060109	8
-up	24060140	78
-down	24060296	78
-up	24060312	32
-down	24060390	32
-up	24060421	161
-up	24060515	191
-down	24060578	161
-down	24060640	191
-up	24060671	13
-down	24060796	13
-up	24061609	87
-down	24061718	87
-up	24061859	72
-down	24061953	72
-up	24062046	73
-down	24062125	73
-up	24062281	67
-down	24062406	67
-up	24062609	72
-down	24062687	72
-up	24062765	32
-down	24062890	32
-up	24063953	83
-down	24064031	83
-up	24064125	73
-down	24064203	73
-up	24064281	77
-down	24064406	77
-up	24064609	85
-down	24064687	85
-up	24064812	76
-down	24064937	76
-up	24065000	65
-down	24065078	65
-up	24065250	84
-down	24065390	84
-up	24065406	79
-up	24065531	82
-down	24065546	79
-down	24065656	82
-up	24065781	32
-down	24065890	32
-up	24065968	65
-down	24066125	65
-up	24066375	82
-up	24066468	69
-down	24066515	82
-down	24066578	69
-up	24066625	32
-down	24066703	32
-up	24067296	89
-up	24067390	79
-down	24067406	89
-down	24067468	79
-up	24067484	85
-down	24067578	85
-up	24067656	32
-down	24067750	32
-up	24068562	83
-up	24068640	85
-down	24068671	83
-down	24068750	85
-up	24068812	78
-up	24068828	66
-down	24068875	78
-down	24068890	66
-up	24069312	8
-down	24069421	8
-up	24069515	8
-down	24069593	8
-up	24069687	8
-down	24069765	8
-up	24069828	8
-down	24069906	8
-up	24071406	85
-down	24071484	85
-up	24071609	83
-down	24071734	83
-up	24071796	73
-down	24071890	73
-up	24071921	78
-down	24072015	78
-up	24072171	71
-down	24072312	71
-up	24072718	32
-down	24072828	32
-up	24072875	161
-up	24073031	191
-down	24073140	191
-down	24073328	161
-up	24073500	13
-down	24073578	13
-up	24081875	65
-up	24081953	78
-down	24081984	65
-down	24082062	78
-up	24082093	68
-down	24082218	68
-up	24082250	32
-down	24082296	32
-up	24082578	87
-down	24082687	87
-up	24082828	72
-down	24082937	72
-up	24083000	73
-down	24083109	73
-up	24083140	67
-down	24083250	67
-up	24083562	72
-down	24083656	72
-up	24083718	32
-down	24083812	32
-up	24083953	65
-down	24084078	65
-up	24084359	84
-down	24084468	84
-up	24084562	84
-down	24084718	84
-up	24084875	67
-down	24085015	67
-up	24085859	75
-down	24085968	75
-up	24086031	32
-down	24086125	32
-up	24088437	68
-up	24088531	79
-down	24088546	68
-down	24088625	79
-up	24088687	32
-down	24088796	32
-up	24089640	89
-down	24089750	89
-up	24090609	79
-down	24090703	79
-up	24090875	85
-up	24090921	32
-down	24090968	85
-down	24091031	32
-up	24091500	82
-down	24091656	82
-up	24092671	8
-down	24092765	8
-up	24092875	84
-down	24092968	84
-up	24093296	72
-down	24093421	72
-up	24093437	73
-up	24093546	78
-down	24093562	73
-down	24093656	78
-up	24093687	75
-down	24093812	75
-up	24093843	32
-down	24093953	32
-up	24095750	87
-up	24095843	69
-down	24095906	87
-down	24095968	69
-up	24095984	32
-down	24096062	32
-up	24096421	83
-down	24096546	83
-up	24097328	72
-down	24097437	72
-up	24097515	79
-down	24097656	79
-up	24097734	85
-down	24097812	85
-up	24097968	76
-down	24098093	76
-up	24098125	68
-up	24098250	32
-down	24098265	68
-down	24098359	32
-up	24099234	68
-up	24099312	79
-down	24099359	68
-down	24099421	79
-up	24099468	32
-down	24099562	32
-up	24099828	161
-up	24099921	191
-down	24100015	161
-down	24100031	191
-up	24100265	13
-down	24100359	13
-up	24107062	8
-down	24107140	8
-up	24155234	87
-up	24155296	65
-down	24155359	87
-up	24155406	73
-down	24155453	65
-down	24155531	73
-up	24155546	84
-down	24155687	84
-up	24155703	32
-down	24155828	32
-up	24156687	73
-down	24156765	73
-up	24157093	76
-down	24157187	76
-up	24157562	76
-down	24157671	76
-up	24157984	32
-down	24158078	32
-up	24158140	83
-down	24158296	83
-up	24159265	8
-down	24159343	8
-up	24160265	67
-down	24160359	67
-up	24160625	72
-down	24160718	72
-up	24160734	69
-down	24160828	69
-up	24160921	67
-down	24161062	67
-up	24161703	75
-down	24161796	75
-up	24161812	32
-down	24161953	32
-up	24162140	73
-down	24162250	73
-up	24162265	84
-up	24162390	32
-down	24162406	84
-down	24162546	32
-up	24163625	161
-up	24163781	186
-down	24163968	186
-down	24164015	161
-up	24164625	189
-down	24164718	189
-up	24165000	161
-up	24165390	48
-down	24165562	48
-down	24165640	161
-up	24165750	13
-down	24165875	13
-up	24219109	32
-down	24219171	32
-up	24219265	89
-down	24219390	89
-up	24219484	79
-down	24219593	79
-up	24219671	85
-down	24219765	85
-up	24219953	84
-down	24220093	84
-up	24220218	85
-down	24220328	85
-up	24220359	66
-down	24220437	66
-up	24220484	69
-down	24220562	69
-up	24220703	13
-down	24220812	13
-up	24265671	91
-up	24266171	91
-up	24266203	91
-up	24266234	91
-up	24266265	91
-up	24266296	91
-up	24266328	91
-up	24266359	91
-up	24266390	91
-up	24266437	91
-up	24266468	91
-up	24266500	91
-up	24266531	91
-up	24266562	91
-up	24266593	91
-up	24266625	91
-up	24266656	91
-up	24266671	67
-down	24266750	67
-down	24266796	91
-up	24268000	91
-up	24268500	91
-up	24268531	91
-up	24268562	91
-up	24268609	91
-up	24268640	91
-up	24268671	91
-up	24268703	91
-up	24268734	91
-up	24268765	91
-up	24268796	91
-up	24268828	91
-up	24268859	91
-up	24268906	91
-up	24268937	91
-up	24268968	91
-up	24269000	91
-up	24269031	91
-up	24269062	91
-up	24269093	91
-up	24269125	91
-up	24269156	91
-up	24269203	91
-up	24269234	91
-up	24269265	91
-up	24269296	91
-up	24269328	91
-up	24269359	91
-up	24269390	91
-up	24269421	82
-down	24269546	82
-down	24269593	91
-up	24270109	13
-down	24270203	13
-up	24272312	80
-down	24272390	80
-up	24272593	89
-down	24272703	89
-up	24272812	84
-down	24272906	84
-up	24272984	72
-down	24273078	72
-up	24273156	79
-down	24273281	79
-up	24273343	78
-down	24273421	78
-up	24273609	13
-down	24273687	13
-up	24286296	80
-down	24286390	80
-up	24286968	89
-down	24287062	89
-up	24287140	84
-down	24287250	84
-up	24287265	72
-down	24287343	72
-up	24287390	79
-down	24287515	79
-up	24287531	78
-down	24287640	78
-up	24287828	13
-down	24287937	13
-up	24302000	32
-down	24302125	32
-up	24302359	73
-up	24302468	78
-down	24302500	73
-up	24302562	83
-down	24302593	78
-down	24302703	83
-up	24302750	84
-down	24302937	84
-up	24302984	65
-down	24303125	65
-up	24304390	40
-down	24304453	40
-up	24305484	13
-down	24305578	13
-up	24366250	83
-down	24366406	83
-up	24366484	69
-down	24366593	69
-up	24366640	69
-down	24366765	69
-up	24366781	77
-down	24366859	77
-up	24366875	83
-down	24367046	83
-up	24367062	32
-down	24367171	32
-up	24367531	73
-up	24367562	78
-down	24367609	73
-down	24367671	78
-up	24367734	84
-up	24367859	69
-down	24367875	84
-up	24367937	82
-down	24367984	69
-down	24368062	82
-up	24368500	83
-down	24368609	83
-up	24368859	84
-down	24368953	84
-up	24369000	73
-up	24369093	78
-down	24369156	73
-up	24369218	71
-down	24369234	78
-down	24369296	71
-up	24369343	32
-down	24369421	32
-up	24369437	65
-down	24369593	65
-up	24370531	8
-down	24370703	8
-up	24371109	73
-down	24371203	73
-up	24371250	77
-down	24371328	77
-up	24371484	77
-down	24371546	77
-up	24371875	8
-down	24371984	8
-up	24372000	32
-down	24372109	32
-up	24373656	84
-down	24373750	84
-up	24373859	82
-down	24373984	82
-up	24374375	85
-down	24374468	85
-up	24374484	66
-down	24374546	66
-up	24374593	71
-down	24374671	71
-up	24374687	32
-down	24374765	32
-up	24375031	8
-down	24375125	8
-up	24375203	8
-down	24375296	8
-up	24375375	8
-down	24375437	8
-up	24375500	8
-down	24375578	8
-up	24376640	73
-down	24376718	73
-up	24376734	78
-down	24376812	78
-up	24376828	71
-down	24376937	71
-up	24376984	32
-down	24377046	32
-up	24377062	84
-down	24377187	84
-up	24378453	8
-down	24378562	8
-up	24378687	8
